1,19.7,1.516,1.772
1,20.3,1.772,2.024
1,19.7,2.024,2.308
2,19.7,2.216,2.458
2,20.3,2.458,2.704
2,19.7,2.704,2.936
3,19.7,2.978,3.236
3,20.3,3.236,3.488
3,19.7,3.488,3.738
4,19.7,3.590,3.848
4,20.3,3.848,4.128
4,19.7,4.128,4.422
5,19.7,4.370,4.608
5,20.3,4.608,4.850
5,19.7,4.850,5.096
6,19.7,5.054,5.298
6,20.3,5.298,5.556
6,19.7,5.556,5.826
7,19.7,5.380,5.640
7,20.3,5.640,5.894
7,19.7,5.894,6.148
8,19.7,6.024,6.280
8,20.3,6.280,6.542
8,19.7,6.542,6.868
9,19.7,6.516,6.770
9,20.3,6.770,7.020
9,19.7,7.020,7.276
10,19.7,6.958,7.214
10,20.3,7.214,7.496
10,19.7,7.496,7.790
